sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
526,127,556,"bez verejnej funkcie","","","Sloboda a Solidarita"
528,292,318,"bez verejnej funkcie","","","Sloboda a Solidarita"
530,63,558,"nezastávam žiadnu politickú funkciu","","","SaS"
531,166,193,"bez verejnej funkcie","","","---"
532,125,152,"bez verejnej funkcie","","","Sloboda a Solidarita"
533,189,215,"žiadna","","","SaS"
534,292,559,"bez verejnej funkcie","","","Sloboda a Solidarita"
535,228,254,"bez verejnej funkcie","","","SaS"
536,166,560,"bez verejnej funkcie","","","---"
537,125,561,"bez verejnej funkcie","","","Sloboda a Solidarita"
538,189,562,"žiadna","","","SaS"
539,276,302,"ŽIADNA","","","ŽIADNU"
540,123,563,"bez verejnej funkcie","","","SaS"
541,140,167,"bez verejnej funkcie","","","nekandidoval"
542,354,565,"poslanec zastupiteľstva PSK","2001","","Kresťanskodemokratické hnutie"
543,347,564,"Predseda BBSK","2006","","SMER-SD, KDH, SNS, HZD,SZ"
544,311,337,"simpatizant","","2009","SaS"
545,326,352,"žiadna","","","Kandidujem za stranu Sloboda a Solidarita"
546,140,566,"bez verejnej funkcie","","","nekandidoval"
547,276,567,"ŽIADNA","","","ŽIADNU"
548,326,568,"žiadna","","","Kandidujem za stranu Sloboda a Solidarita"
549,131,569,"bez verejnej funkcie","","","SaS"
550,131,570,"bez verejnej funkcie","","","SaS"
551,195,221," vmswäopvmäop","2009","","k cak äako"
552,195,571,"sympatizant SAS","2009","","SAS"
553,294,320,"nemám","","","SaS"
555,133,573,"poslanec obecného zastupiteľstva Terchová","2007","","nezávisly kandidát na kandidátke KDH"
556,294,574,"nemám","","","SaS"
557,62,575,"kandidátka do Európskeho parlamnetu","2009","2009","Strana zelených (SZ)"
558,62,575,"poslankyňa / Bratislavský samosprávny kraj","2009","2009","Strana zelených (SZ)"
560,255,281,"žiadna","2009","","SAS"
561,255,281,"kandidat","2009","","SAS"
564,255,578,"žiadna","2009","","SAS"
565,255,578,"kandidat","2009","","SAS"
