"sid","uzivatel_sid","verejny_cinnitel_sid","str_strana","str_funkcia_strana","str_funkcne_obdobie_od","str_funkcne_obdobie_do","poznamky","str_nazov"
16,9,10,"Nečlen","Bez funkcie","","",NULL,"Nie som členom žiadnej strany"
27,29,18,"NEKA","",2003,2007,"","Nezávislý kandidát"
28,29,18,"NEKA","",2007,"","","Nezávislý kandidát"
29,18,19,"SDKÚ-DS","člen",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
30,18,19,"DSS","podpredseda strany",2003,2006,"","Demokratická strana Slovenska"
31,24,20,"SDKÚ-DS","člen predsedníctva miestneho zväzu",2007,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
32,24,21,"SDKÚ-DS","člen predsedníctva miestneho zväzu",2007,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
33,24,22,"SDKÚ-DS","člen predsedníctva miestneho zväzu",2007,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
34,18,23,"SDKÚ-DS","člen",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
35,18,23,"DSS","podpredseda strany",2003,2006,"","Demokratická strana Slovenska"
36,28,24,"NEKA","",2008,"",NULL,"Nezávislý kandidát"
37,13,25,"KDH","člen",2008,"","","Kresťanskodemokratické hnutie"
38,39,26,"NEKA","žiadne",2006,"",NULL,"Nezávislý kandidát"
39,39,26,"NEKA","",2008,"",NULL,"Nezávislý kandidát"
40,39,27,"NEKA","žiadne",2006,"","","Nezávislý kandidát"
41,39,27,"NEKA","",2008,"","","Nezávislý kandidát"
42,39,28,"NEKA","žiadne",2006,"","","Nezávislý kandidát"
43,39,28,"NEKA","",2008,"","","Nezávislý kandidát"
44,34,29,"NEKA","",2007,"",NULL,"Nezávislý kandidát"
45,34,30,"NEKA","",2007,"","","Nezávislý kandidát"
46,34,31,"NEKA","",2007,"","","Nezávislý kandidát"
47,28,32,"NEKA","",2008,"","","Nezávislý kandidát"
48,28,33,"NEKA","",2008,"","","Nezávislý kandidát"
49,38,34,"NEKA","",2006,"",NULL,"Nezávislý kandidát"
50,38,35,"NEKA","",2006,"","","Nezávislý kandidát"
51,32,37,"NEKA","",2007,"",NULL,"Nezávislý kandidát"
52,37,38,"NEKA","",2007,"",NULL,"Nezávislý kandidát"
53,37,38,"NEKA","bez funkcie",2007,"",NULL,"Nezávislý kandidát"
54,37,39,"NEKA","",2007,"","","Nezávislý kandidát"
55,37,39,"NEKA","bez funkcie",2007,"","","Nezávislý kandidát"
56,9,40,"ASV","Člen strany",2002,"","","Agrárna strana vidieka"
57,27,41,"NEKA","bez funkcie",2004,"",NULL,"Nezávislý kandidát"
58,26,42,"NEKA","",2008,"",NULL,"Nezávislý kandidát"
59,26,43,"NEKA","",2008,"","","Nezávislý kandidát"
60,32,44,"NEKA","",2007,"","","Nezávislý kandidát"
61,27,45,"NEKA","bez funkcie",2004,"","","Nezávislý kandidát"
62,41,36,"NEKA","",2006,"",NULL,"Nezávislý kandidát"
63,41,46,"NEKA","",2006,"","","Nezávislý kandidát"
65,25,48,"SDKÚ-DS","pokladník Miestneho zväzu Žilina",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
66,30,49,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2008,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
67,30,49,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2006,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
68,30,50,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2008,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
69,30,50,"SDKÚ-DS","podpredseda miestneho zväzu v Žiline",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
70,33,51,"SDKÚ-DS","nečlen",2002,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
71,35,52,"NEKA","-",2007,"",NULL,"Nezávislý kandidát"
72,35,53,"NEKA","-",2007,"","","Nezávislý kandidát"
73,17,54,"KDH","podpredseda",2007,"",NULL,"Kresťanskodemokratické hnutie"
74,17,55,"KDH","podpredseda",2007,"","","Kresťanskodemokratické hnutie"
75,17,56,"KDH","podpredseda",2007,"","","Kresťanskodemokratické hnutie"
76,17,57,"KDH","podpredseda",2007,"","","Kresťanskodemokratické hnutie"
77,40,58,"SDKÚ-DS","podpredsedníčka",2006,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
78,44,59,"NEKA","žiadna","","",NULL,"Nezávislý kandidát"
79,40,60,"SDKÚ-DS","podpredsedníčka",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
80,48,61,"SF","Predsedníčka strany",2004,"",NULL,"Slobodné fórum"
81,48,61,"SF","Predsedkníčka strany",2004,"",NULL,"Slobodné fórum"
82,48,62,"SF","Predsedníčka strany",2004,"","","Slobodné fórum"
83,48,62,"SF","Predsedkníčka strany",2004,"","","Slobodné fórum"
84,40,63,"SDKÚ-DS","podpredsedníčka",2006,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
85,46,64,"SMER","Zakladajúci člen",1999,"",NULL,"SMER - sociálna demokracia"
86,46,65,"SMER","Zakladajúci člen",1999,"","","SMER - sociálna demokracia"
928,78,848,"SaS","Člen republikovej rady, tímlíder pre vzťahy s EÚ",2009,"","","Sloboda a Solidarita"
90,55,69,"SZ","člen",2008,"",NULL,"Strana zelených"
91,61,70,"SaS","zakladajúci člen",2009,"",NULL,"Sloboda a Solidarita"
92,61,71,"SaS","zakladajúci člen",2009,"","","Sloboda a Solidarita"
93,60,72,"SaS","Podpredseda pre ekonomiku, člen Republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
94,60,73,"SaS","Podpredseda pre ekonomiku, člen Republikovej rady",2009,"","","Sloboda a Solidarita"
95,55,74,"SZ","člen",2008,"","","Strana zelených"
96,62,75,"SZ","členka predsedníctva",2007,"",NULL,"Strana zelených"
98,45,77,"KDH","poslanec EP",2004,"",NULL,"Kresťanskodemokratické hnutie"
99,56,78,"OKS","člen",2005,"",NULL,"Občianska konzervatívna strana"
100,13,79,"KDS","zakladajúci člen",2008,"","","Konzervatívni demokrati Slovenska"
101,54,80,"SZ","nezávislá kandidátka","","",NULL,"Strana zelených"
102,54,81,"SZ","nezávislá kandidátka","","","","Strana zelených"
104,58,83,"SMER","člen strany","","",NULL,"SMER - sociálna demokracia"
105,63,84,"SaS","zakladajúci člen",2009,"",NULL,"Sloboda a Solidarita"
107,42,86,"SDKÚ-DS","predseda MZ",2009,"",NULL,"Slovenská demokratická a kresťanská únia - Demokratická strana"
108,52,87,"Nečlen","žiadna (nestraníčka)","","",NULL,"Nie som členom žiadnej strany"
109,42,88,"SDKÚ-DS","predseda MZ",2009,"","","Slovenská demokratická a kresťanská únia - Demokratická strana"
110,59,89,"SaS","","","",NULL,"Sloboda a Solidarita"
111,59,90,"SaS","","","","","Sloboda a Solidarita"
112,52,91,"Nečlen","žiadna (nestraníčka)","","","","Nie som členom žiadnej strany"
113,62,92,"SZ","členka predsedníctva",2007,"","","Strana zelených"
114,67,94,"SaS","Tímlíder pre oblasť boja proti korupcii, zakladajúci člen",2009,"",NULL,"Sloboda a Solidarita"
115,22,95,"NEKA","","","",NULL,"Nezávislý kandidát"
116,69,96,"KDH","člen krajskej rady",2006,"",NULL,"Kresťanskodemokratické hnutie"
117,69,97,"KDH","člen krajskej rady",2006,"","","Kresťanskodemokratické hnutie"
118,346,371,"ĽS-HZDS","predseda poslaneckého klubu",1993,1994,NULL,"Ľudová strana - Hnutie za demokratické Slovensko"
119,346,371,"DÚ","predseda miestnej organizácie",1994,2003,NULL,"Demokratická únia Slovenska"
121,346,373,"ĽS-HZDS","predseda poslaneckého klubu",1993,1994,"","Ľudová strana - Hnutie za demokratické Slovensko"
122,346,373,"DÚ","predseda miestnej organizácie",1994,2003,"","Demokratická únia Slovenska"
124,109,136,"DÚ","člen (do zániku DU fúziou s SDKÚ-DS)",1997,2000,NULL,"Demokratická únia Slovenska"
125,122,149,"SaS","Koordinátor v meste Piešťany",2009,"",NULL,"Sloboda a Solidarita"
126,109,136,"ANO","asistent, krajská kancelária (Prešov)",2001,2005,NULL,"Aliancia nového občana"
127,109,136,"SaS","člen republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
128,122,374,"SaS","Koordinátor v meste Piešťany",2009,"","","Sloboda a Solidarita"
129,89,116,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
131,177,203,"SaS","nie som členom strany",2009,"",NULL,"Sloboda a Solidarita"
132,194,220,"SaS","","","",NULL,"Sloboda a Solidarita"
133,177,376,"SaS","nie som členom strany",2009,"","","Sloboda a Solidarita"
134,110,137,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
135,128,155,"SaS","okresny reprezentant Liptovsky Mikulas a clen strany",2009,"",NULL,"Sloboda a Solidarita"
136,128,155,"SaS","okresny reprezentant strany Lipt. Mikulas a clen strany",2009,"",NULL,"Sloboda a Solidarita"
137,126,153,"SaS","okresný líder Dolný Kubín",2009,"",NULL,"Sloboda a Solidarita"
138,109,377,"DÚ","člen (do zániku DU fúziou s SDKÚ-DS)",1997,2000,"","Demokratická únia Slovenska"
139,109,377,"ANO","asistent, krajská kancelária (Prešov)",2001,2005,"","Aliancia nového občana"
140,109,377,"SaS","člen republikovej rady",2009,"","","Sloboda a Solidarita"
141,110,378,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
142,141,168,"SaS","Žiadna, sympatizant","","",NULL,"Sloboda a Solidarita"
143,133,160,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
144,112,139,"SaS","člen Republikovej rady",2009,"",NULL,"Sloboda a Solidarita"
145,141,379,"SaS","Žiadna, sympatizant","","","","Sloboda a Solidarita"
146,202,228,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
147,100,127,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
148,126,380,"SaS","okresný líder Dolný Kubín",2009,"","","Sloboda a Solidarita"
149,99,126,"SaS","zakladajúci člen strany",2009,"",NULL,"Sloboda a Solidarita"
150,117,144,"SaS","okresný šéf za Trenčín",2009,"",NULL,"Sloboda a Solidarita"
923,384,843,"Nečlen","","","","","Nie som členom žiadnej strany"
152,202,381,"Nečlen","","","","","Nie som členom žiadnej strany"
153,127,154,"SaS","konzultant verejných financií a finančného trhu",2009,"",NULL,"Sloboda a Solidarita"
154,97,124,"SaS","člen","","",NULL,"Sloboda a Solidarita"
155,93,120,"SaS","okresny reprezentant",2009,"",NULL,"Sloboda a Solidarita"
156,229,255,"SaS","žiadateľ o členstvo","","",NULL,"Sloboda a Solidarita"
157,132,159,"SaS","","","",NULL,"Sloboda a Solidarita"
158,287,313,"SaS","","","",NULL,"Sloboda a Solidarita"
159,132,382,"SaS","","","","","Sloboda a Solidarita"
160,159,186,"NEKA","žiadna","","",NULL,"Nezávislý kandidát"
162,333,359,"SaS","sympatizant","","",NULL,"Sloboda a Solidarita"
163,218,244,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
164,299,325,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
165,335,361,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
166,243,269,"SaS","","","",NULL,"Sloboda a Solidarita"
167,333,383,"SaS","sympatizant","","","","Sloboda a Solidarita"
168,335,384,"Nečlen","","","","","Nie som členom žiadnej strany"
169,243,385,"SaS","","","","","Sloboda a Solidarita"
170,103,130,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
172,251,277,"SaS","sympatizant, nie člen","","",NULL,"Sloboda a Solidarita"
173,230,256,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
174,93,386,"SaS","okresny reprezentant",2009,"","","Sloboda a Solidarita"
175,324,350,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
176,230,387,"Nečlen","","","","","Nie som členom žiadnej strany"
177,324,388,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
179,179,205,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
180,78,106,"SaS","Člen republikovej rady, tímlíder pre vzťahy s EÚ",2009,"",NULL,"Sloboda a Solidarita"
181,179,205,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
182,179,389,"Nečlen","","","","","Nie som členom žiadnej strany"
183,179,389,"Nečlen","","","","","Nie som členom žiadnej strany"
184,299,390,"Nečlen","","","","","Nie som členom žiadnej strany"
185,332,358,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
186,332,391,"Nečlen","","","","","Nie som členom žiadnej strany"
187,332,392,"Nečlen","","","","","Nie som členom žiadnej strany"
188,142,169,"SaS","Sympatizant","",2009,NULL,"Sloboda a Solidarita"
189,142,393,"SaS","","","","","Sloboda a Solidarita"
190,142,394,"SaS","","","","","Sloboda a Solidarita"
191,142,395,"SaS","","","","","Sloboda a Solidarita"
192,247,273,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
194,245,271,"SaS","","","",NULL,"Sloboda a Solidarita"
195,111,138,"SaS","",2009,"",NULL,"Sloboda a Solidarita"
196,178,204,"SaS","bez funkcie",2009,"",NULL,"Sloboda a Solidarita"
197,247,396,"Nečlen","","","","","Nie som členom žiadnej strany"
198,111,397,"SaS","",2009,"","","Sloboda a Solidarita"
199,178,398,"SaS","bez funkcie",2009,"","","Sloboda a Solidarita"
200,245,399,"SaS","","","","","Sloboda a Solidarita"
202,330,356,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
203,270,296,"SaS","žiadna","","",NULL,"Sloboda a Solidarita"
204,180,206,"SaS","",2009,"",NULL,"Sloboda a Solidarita"
507,131,158,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
207,270,400,"SaS","žiadna","","","","Sloboda a Solidarita"
208,180,401,"SaS","",2009,"","","Sloboda a Solidarita"
209,330,402,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
210,112,403,"SaS","člen Republikovej rady",2009,"","","Sloboda a Solidarita"
212,180,404,"SaS","",2009,"","","Sloboda a Solidarita"
213,153,180,"NEKA","","","",NULL,"Nezávislý kandidát"
214,102,129,"SaS","tímlíder pre poľnohospodárstvo","","",NULL,"Sloboda a Solidarita"
215,293,319,"SaS","","","",NULL,"Sloboda a Solidarita"
216,293,405,"SaS","","","","","Sloboda a Solidarita"
217,102,406,"SaS","tímlíder pre poľnohospodárstvo","","","","Sloboda a Solidarita"
218,316,342,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
222,123,150,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
223,149,176,"SZ","člen",1990,1990,NULL,"Strana zelených"
224,302,328,"Nečlen","",2009,"",NULL,"Nie som členom žiadnej strany"
386,261,287,"NEKA","","","",NULL,"Nezávislý kandidát"
225,149,408,"SZ","člen","","","","Strana zelených"
226,351,409,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
346,351,477,"MOST - HÍD","","",2009,"","MOST - HÍD"
227,302,410,"SaS","Oblastný reprezentant pre okres Hlohovec, nečlen strany",2009,"","","Sloboda a Solidarita"
228,351,411,"MOST - HÍD","Okresný predseda",2009,"","","MOST - HÍD"
233,116,143,"SaS","Okresný šéf",2009,"",NULL,"Sloboda a Solidarita"
234,116,414,"SaS","Okresný šéf",2009,"","","Sloboda a Solidarita"
235,121,148,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
236,142,415,"SaS","","","","","Sloboda a Solidarita"
237,288,314,"SaS","sympatizant","","",NULL,"Sloboda a Solidarita"
238,288,416,"SaS","sympatizant","","","","Sloboda a Solidarita"
240,144,171,"SaS","sympatizant",2009,2009,NULL,"Sloboda a Solidarita"
241,144,417,"SaS","sympatizant",2009,2009,"","Sloboda a Solidarita"
242,139,166,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
244,164,191,"Nečlen","",2009,"",NULL,"Nie som členom žiadnej strany"
245,226,252,"SaS","nezávislý kandidát","","",NULL,"Sloboda a Solidarita"
246,226,419,"SaS","nezávislý kandidát","","","","Sloboda a Solidarita"
247,304,330,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
248,304,420,"Nečlen","","","","","Nie som členom žiadnej strany"
249,167,194,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
250,167,421,"Nečlen","","","","","Nie som členom žiadnej strany"
251,171,198,"ODÚ","člen",1992,1992,NULL,"Občianska demokratická únia"
252,77,105,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
253,77,422,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
254,286,312,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
255,286,423,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
256,130,157,"SaS","Regionálny predseda - Turiec",2009,"",NULL,"Sloboda a Solidarita"
259,308,334,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
260,308,424,"Nečlen","","","","","Nie som členom žiadnej strany"
261,120,147,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
262,120,425,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
263,209,235,"SaS","nie","","",NULL,"Sloboda a Solidarita"
264,254,280,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
265,241,267,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
266,310,336,"SaS","","","",NULL,"Sloboda a Solidarita"
267,191,217,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
268,310,426,"SaS","","","","","Sloboda a Solidarita"
269,145,172,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
270,191,427,"Nečlen","","","","","Nie som členom žiadnej strany"
271,145,428,"Nečlen","","","","","Nie som členom žiadnej strany"
272,112,429,"SaS","člen Republikovej rady",2009,"","","Sloboda a Solidarita"
274,215,241,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
275,71,99,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
276,121,430,"SaS","člen",2009,"","","Sloboda a Solidarita"
277,253,279,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
278,210,236,"SaS","","","",NULL,"Sloboda a Solidarita"
280,71,432,"SaS","člen",2009,"","","Sloboda a Solidarita"
281,253,433,"Nečlen","","","","","Nie som členom žiadnej strany"
282,215,434,"Nečlen","","","","","Nie som členom žiadnej strany"
283,253,435,"Nečlen","","","","","Nie som členom žiadnej strany"
284,253,436,"Nečlen","","","","","Nie som členom žiadnej strany"
285,328,354,"SaS","sympatizant","","",NULL,"Sloboda a Solidarita"
286,210,437,"SaS","","","","","Sloboda a Solidarita"
287,254,438,"Nečlen","","","","","Nie som členom žiadnej strany"
288,280,306,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
289,113,140,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
291,280,439,"Nečlen","","","","","Nie som členom žiadnej strany"
293,185,211,"NEKA","nečlen","","",NULL,"Nezávislý kandidát"
294,185,441,"NEKA","nečlen","","","","Nezávislý kandidát"
295,253,442,"Nečlen","","","","","Nie som členom žiadnej strany"
296,281,307,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
297,253,443,"Nečlen","","","","","Nie som členom žiadnej strany"
298,253,444,"Nečlen","","","","","Nie som členom žiadnej strany"
299,253,445,"Nečlen","","","","","Nie som členom žiadnej strany"
300,253,446,"Nečlen","","","","","Nie som členom žiadnej strany"
301,253,447,"Nečlen","","","","","Nie som členom žiadnej strany"
303,174,200,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
305,305,331,"SaS","","","",NULL,"Sloboda a Solidarita"
306,305,449,"SaS","","","","","Sloboda a Solidarita"
307,215,450,"Nečlen","","","","","Nie som členom žiadnej strany"
308,215,451,"Nečlen","","","","","Nie som členom žiadnej strany"
309,253,452,"Nečlen","","","","","Nie som členom žiadnej strany"
310,253,453,"Nečlen","","","","","Nie som členom žiadnej strany"
311,96,123,"SaS","člen strany",2009,"",NULL,"Sloboda a Solidarita"
312,96,454,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
313,96,455,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
918,181,838,"SaS","okresný reprezentant BA II",2009,"","","Sloboda a Solidarita"
315,149,457,"SZ","člen",1990,1990,"","Strana zelených"
316,181,207,"SaS","okresný reprezentant BA II",2009,"",NULL,"Sloboda a Solidarita"
317,181,458,"SaS","okresný reprezentant BA II",2009,"","","Sloboda a Solidarita"
318,148,175,"SaS","regionalny koordinator",2009,"",NULL,"Sloboda a Solidarita"
319,148,459,"SaS","regionalny koordinator",2009,"","","Sloboda a Solidarita"
320,222,248,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
321,253,460,"Nečlen","","","","","Nie som členom žiadnej strany"
322,289,315,"SaS","nečlen","","",NULL,"Sloboda a Solidarita"
323,323,349,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
324,289,461,"SaS","nečlen","","","","Sloboda a Solidarita"
325,323,462,"Nečlen","","","","","Nie som členom žiadnej strany"
326,151,178,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
327,151,463,"Nečlen","","","","","Nie som členom žiadnej strany"
328,94,121,"SaS","okresný vedúci","","",NULL,"Sloboda a Solidarita"
329,354,464,"KDH","predseda krajskej rady",2004,"",NULL,"Kresťanskodemokratické hnutie"
330,78,465,"SaS","Člen republikovej rady",2009,"","","Sloboda a Solidarita"
333,55,467,"SZ","člen",2008,"","","Strana zelených"
334,55,468,"SZ","člen",2008,"","","Strana zelených"
335,113,469,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
336,342,368,"SaS","Nie som členom žiadnej strany",2009,"",NULL,"Sloboda a Solidarita"
337,328,470,"SaS","sympatizant","","","","Sloboda a Solidarita"
338,328,471,"SaS","sympatizant","","","","Sloboda a Solidarita"
342,355,474,"SMER","člen",2004,"",NULL,"SMER - sociálna demokracia"
343,165,192,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
344,165,475,"Nečlen","","","","","Nie som členom žiadnej strany"
345,139,476,"Nečlen","","","","","Nie som členom žiadnej strany"
347,193,219,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
348,193,478,"Nečlen","","","","","Nie som členom žiadnej strany"
349,335,479,"Nečlen","","","","","Nie som členom žiadnej strany"
351,182,208,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
352,358,480,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
353,182,481,"Nečlen","","","","","Nie som členom žiadnej strany"
354,358,482,"Nečlen","","","","","Nie som členom žiadnej strany"
355,113,483,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
356,159,484,"NEKA","žiadna","","","","Nezávislý kandidát"
357,98,125,"SaS","Team leader pre cast NR a TN kraja",2009,"",NULL,"Sloboda a Solidarita"
360,271,297,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
361,242,268,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
362,260,286,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
364,108,135,"SaS","Okresný zástupca pre Prešov",2009,"",NULL,"Sloboda a Solidarita"
367,271,486,"Nečlen","","","","","Nie som členom žiadnej strany"
368,328,487,"SaS","sympatizant","","","","Sloboda a Solidarita"
369,357,488,"SMK-MKP","člen rebulikovej rady SMK",2007,"",NULL,"Strana maďarskej koalície - Magyar Koalíció Pártja"
370,108,489,"SaS","Okresný zástupca pre Prešov",2009,"","","Sloboda a Solidarita"
372,319,345,"SaS","sympatizant","","",NULL,"Sloboda a Solidarita"
929,113,849,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
375,194,491,"SaS","","","","","Sloboda a Solidarita"
376,321,347,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
377,322,348,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
378,203,229,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
379,136,163,"Nečlen","sympatizant SaS","","",NULL,"Nie som členom žiadnej strany"
380,291,317,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
381,209,492,"SaS","nie","","","","Sloboda a Solidarita"
382,203,493,"Nečlen","","","","","Nie som členom žiadnej strany"
383,322,494,"Nečlen","","","","","Nie som členom žiadnej strany"
387,117,496,"SaS","okresný šéf za Trenčín",2009,"","","Sloboda a Solidarita"
388,321,497,"Nečlen","","","","","Nie som členom žiadnej strany"
389,283,309,"SaS","sympatizant",2008,"",NULL,"Sloboda a Solidarita"
390,168,195,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
391,321,498,"Nečlen","","","","","Nie som členom žiadnej strany"
392,91,118,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
393,285,311,"SaS","sympatizant","","",NULL,"Sloboda a Solidarita"
394,168,499,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
395,91,500,"SaS","člen",2009,"","","Sloboda a Solidarita"
396,279,305,"SaS","sympatizant","","",NULL,"Sloboda a Solidarita"
397,315,341,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
398,285,501,"SaS","sympatizant","","","","Sloboda a Solidarita"
399,242,502,"Nečlen","","","","","Nie som členom žiadnej strany"
400,242,503,"Nečlen","","","","","Nie som členom žiadnej strany"
401,315,504,"Nečlen","","","","","Nie som členom žiadnej strany"
402,149,505,"SZ","člen",1990,1990,"","Strana zelených"
403,261,506,"NEKA","","","","","Nezávislý kandidát"
404,256,282,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
405,104,131,"SaS","člen","","",NULL,"Sloboda a Solidarita"
406,104,507,"SaS","člen","","","","Sloboda a Solidarita"
407,291,508,"Nečlen","","","","","Nie som členom žiadnej strany"
409,279,510,"SaS","sympatizant","","","","Sloboda a Solidarita"
410,321,511,"Nečlen","","","","","Nie som členom žiadnej strany"
412,351,512,"Nečlen","","","","","Nie som členom žiadnej strany"
413,86,113,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
926,67,846,"SaS","Tímlíder pre oblasť boja proti korupcii, zakladajúci člen",2009,"","","Sloboda a Solidarita"
416,359,513,"SaS","predseda",2009,"",NULL,"Sloboda a Solidarita"
419,281,517,"Nečlen","","","","","Nie som členom žiadnej strany"
420,359,518,"SaS","predseda",2009,"","","Sloboda a Solidarita"
421,115,142,"SaS","zakladajúci člen","","",NULL,"Sloboda a Solidarita"
423,115,520,"SaS","zakladajúci člen","","","","Sloboda a Solidarita"
424,325,351,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
425,114,141,"SaS","zakladajúci člen",2009,"",NULL,"Sloboda a Solidarita"
426,325,521,"Nečlen","","","","","Nie som členom žiadnej strany"
427,325,522,"Nečlen","","","","","Nie som členom žiadnej strany"
428,91,523,"SaS","člen",2009,"","","Sloboda a Solidarita"
429,114,524,"SaS","zakladajúci člen",2009,"","","Sloboda a Solidarita"
430,113,525,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
431,290,316,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
432,290,526,"SaS","nečlen","","","","Sloboda a Solidarita"
433,103,527,"SaS","člen",2009,"","","Sloboda a Solidarita"
434,98,528,"SaS","Team leader pre cast NR a TN kraja",2009,"","","Sloboda a Solidarita"
435,152,179,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
436,155,182,"SaS","SYMPATIZANT",2009,"",NULL,"Sloboda a Solidarita"
437,155,529,"SaS","SYMPATIZANT",2009,"","","Sloboda a Solidarita"
512,294,320,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
511,294,320,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
442,351,531,"Nečlen","","","","","Nie som členom žiadnej strany"
444,328,533,"SaS","sympatizant","","","","Sloboda a Solidarita"
445,328,534,"SaS","sympatizant","","","","Sloboda a Solidarita"
446,72,100,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
