"sid","uzivatel_sid","verejny_cinnitel_sid","str_strana","str_funkcia_strana","str_funkcne_obdobie_od","str_funkcne_obdobie_do","poznamky","str_nazov"
638,234,260,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
639,86,647,"SaS","člen",2009,"","","Sloboda a Solidarita"
640,262,288,"ANO","člen",2002,2006,NULL,"Aliancia nového občana"
641,128,648,"SaS","okresny reprezentant Liptovsky Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
642,128,648,"SaS","okresny reprezentant strany Lipt. Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
643,95,122,"SaS","člen",2009,"",NULL,"Sloboda a Solidarita"
644,206,232,"SaS","sympatizant SaS",2009,"",NULL,"Sloboda a Solidarita"
645,128,649,"SaS","okresny reprezentant Liptovsky Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
646,128,649,"SaS","okresny reprezentant strany Lipt. Mikulas a clen strany",2009,"","","Sloboda a Solidarita"
648,234,651,"SaS","","","","","Sloboda a Solidarita"
649,234,651,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
650,136,652,"Nečlen","sympatizant SaS","","","","Nie som členom žiadnej strany"
651,95,653,"SaS","člen",2009,"","","Sloboda a Solidarita"
652,263,289,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
653,163,190,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
654,206,654,"Nečlen","","","","","Nie som členom žiadnej strany"
655,248,274,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
656,164,655,"Nečlen","",2009,"","","Nie som členom žiadnej strany"
657,263,656,"Nečlen","","","","","Nie som členom žiadnej strany"
658,164,657,"Nečlen","",2009,"","","Nie som členom žiadnej strany"
659,227,658,"Nečlen","","","","","Nie som členom žiadnej strany"
660,248,659,"Nečlen","","","","","Nie som členom žiadnej strany"
661,163,660,"Nečlen","","","","","Nie som členom žiadnej strany"
662,94,661,"SaS","okresný vedúci","","","","Sloboda a Solidarita"
663,105,132,"SaS","okresný reprezentant",2009,"",NULL,"Sloboda a Solidarita"
664,105,662,"SaS","okresný reprezentant",2009,"","","Sloboda a Solidarita"
665,256,663,"Nečlen","","","","","Nie som členom žiadnej strany"
666,152,664,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
667,152,665,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
668,107,666,"SaS","člen",2009,"","","Sloboda a Solidarita"
671,257,668,"Nečlen","","","","","Nie som členom žiadnej strany"
672,100,669,"SaS","člen",2009,"","","Sloboda a Solidarita"
673,134,161,"SaS","okresný šéf za Žilinu",2009,"",NULL,"Sloboda a Solidarita"
674,207,233,"SaS","sympatizant",2009,"",NULL,"Sloboda a Solidarita"
675,303,329,"SaS","","","",NULL,"Sloboda a Solidarita"
676,107,670,"SaS","člen",2009,"","","Sloboda a Solidarita"
677,207,671,"SaS","sympatizant",2009,"","","Sloboda a Solidarita"
678,262,672,"ANO","člen",2002,2006,"","Aliancia nového občana"
679,134,673,"SaS","člen strany",2009,"","","Sloboda a Solidarita"
680,342,674,"SaS","Nie som členom žiadnej strany",2009,"","","Sloboda a Solidarita"
681,135,162,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
682,303,675,"SaS","","","","","Sloboda a Solidarita"
683,135,676,"Nečlen","","","","","Nie som členom žiadnej strany"
685,241,677,"Nečlen","","","","","Nie som členom žiadnej strany"
687,317,679,"SaS","Okresný koordinátor Čadca",2009,"","","Sloboda a Solidarita"
688,316,680,"Nečlen","","","","","Nie som členom žiadnej strany"
689,253,681,"Nečlen","","","","","Nie som členom žiadnej strany"
690,253,682,"Nečlen","","","","","Nie som členom žiadnej strany"
691,253,683,"Nečlen","","","","","Nie som členom žiadnej strany"
692,253,684,"Nečlen","","","","","Nie som členom žiadnej strany"
